""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000005884"	58145,984181924	54586,2376979611	55180,4319719063	47200,9710662063	45626,5324395995	46217,6300408737	45995,3272229425	46212,2536049284
"ENSG00000007237"	71,0109719613431	86,5722964503546	99,0598437053697	81,8750582241219	113,851957950326	99,7739936504281	89,6666414929057	78,300242426828
"ENSG00000012124"	408,063050144056	418,432766176714	381,209605431698	478,322708572502	136,190000332985	180,840363491401	212,272049248511	597,554481678424
"ENSG00000015413"	23,0035542973365	27,2542414751116	28,6931961077623	25,8552815444596	25,9409524443782	24,943498412607	19,2142803199084	38,4632769815997
"ENSG00000023839"	31713,9001397497	36372,3884392115	40422,5647738139	46703,2568964754	36867,1374975478	35358,2998390995	36057,8844346318	47930,7378729278
"ENSG00000044459"	3543,54751632449	3430,82804451405	3449,33207495456	2738,50523691734	2845,57836674582	2713,49629160003	2890,37673955193	1725,35271031747
"ENSG00000058453"	1196,1848234615	1038,86755740426	887,439565332932	764,885412356928	1106,81397096014	1158,9818369572	1204,09490004759	682,723166423395
"ENSG00000064961"	6597,01931066224	5385,11747734706	5075,96302573032	3901,99290641802	5400,04160050473	5785,10995326678	5505,3487945185	4666,41971094622
"ENSG00000068438"	5371,83000569541	4726,20610991936	5086,21059576881	5528,7210369236	5173,77884862876	5100,05458614911	5240,92369868738	4535,91930690151
"ENSG00000070087"	27267,2130786211	26434,2094448458	26544,6222563596	26934,7395489407	23638,6929149396	22717,2911792818	24048,0442689596	19904,7458379779
"ENSG00000072042"	14257,2028916753	13775,4158749939	14076,0622048651	18443,4341683811	15714,4525251944	14444,0672593575	15487,6249035757	19276,9702100996
"ENSG00000076067"	1618,25003709089	1743,46985906964	1834,31503688909	1777,55060618159	1876,39556014336	1830,67461563955	1967,17631846681	1494,57304842787
"ENSG00000076356"	1978,30566957094	1982,34526964562	1976,4146747561	2419,62343120234	1855,49868178538	1838,69216870075	1884,82940281006	1958,87974913433
"ENSG00000077152"	5389,83278731941	4672,49922230664	4866,9125969452	4862,94753715377	3960,31873984174	3792,30259794529	4045,97845593499	4915,05732286299
"ENSG00000079841"	1,0001545346668	2,40478601250985	7,51488469489011	10,7730339768581	0,720582012343839	2,67251768706504	1,82993145903889	2,74737692725712
"ENSG00000082482"	1,0001545346668	12,0239300625492	6,83171335899101	17,236854362973	1,44116402468768	8,01755306119511	13,7244859427917	9,61581924539993
"ENSG00000087263"	5742,88733805679	5663,2710594607	6219,59184202542	7597,14356048036	6201,32879823107	6108,48459340165	6027,79422607411	6470,07266369052
"ENSG00000087302"	12664,9568724857	11005,9039839201	10367,1250222689	11522,8371416475	9892,87044746856	9641,55297570163	9976,78631468003	10499,1009275131
"ENSG00000089351"	25571,9511423609	23317,606772633	20778,6561813712	21918,8149293156	32632,2770110031	34692,8429350203	33117,1845799563	27009,4625718648
"ENSG00000090013"	42068,5000371551	32915,9093438973	33115,3641650371	32476,3882266366	28229,5209155822	28781,2338112324	27809,468383014	28425,7353778658
"ENSG00000091129"	12461,9255019484	14080,0221032452	15091,2548100111	26156,9264958116	16753,5317869942	17047,0994865589	17103,454381907	26461,360874877
"ENSG00000092054"	0	0,801595337503283	0	0	7,20582012343839	14,2534276643469	3,65986291807778	8,24213078177137
"ENSG00000092929"	14785,2844859794	12506,4904557262	12495,8869049305	5940,25093483958	14932,6210418014	14646,2877643454	14677,8802329509	9133,6545946663
"ENSG00000100028"	14592,2546607887	12507,2920510637	12144,0536669424	12223,0843501433	12489,8480199558	12134,1211385043	12459,0883388663	11797,2365256421
"ENSG00000100372"	2363,36516541766	2305,38819065944	2232,60392571826	1779,70521297697	2046,4529150565	2034,67679908552	1985,4756330572	1850,35836050767
"ENSG00000100664"	28738,440399116	27756,8417517262	28877,652368455	26717,1242626082	23640,8546609767	23241,1046459466	24401,2210405541	17581,838645982
"ENSG00000100697"	4337,67021684993	5211,97288444635	6142,39348106882	6664,19881808445	6074,50636405856	5936,55262220047	6362,67168307822	5283,20583111545
"ENSG00000101216"	1922,2970156296	1608,00024703159	1724,32445180933	1840,03420324737	1640,76524210692	1635,5808244838	1744,83964619358	1744,58434880827
"ENSG00000101445"	121,018698694683	100,19941718791	168,060148631179	204,687645560305	333,629471715197	322,483800905848	274,489718855834	446,448750679282
"ENSG00000103257"	187176,920853823	173654,407535361	183042,096027446	146726,568158013	121666,669874195	122175,036903407	121775,533838932	86962,7218784697
"ENSG00000103479"	6337,97928618354	7143,81764782926	7889,94575829872	7816,91345360827	7509,18515063514	7398,41979702505	7348,08977377067	7555,28654995709
"ENSG00000103489"	119,01838962535	141,882374738081	163,961120615784	99,1119125870949	87,1904234936045	62,3587460315175	102,476161706178	103,026634772142
"ENSG00000103490"	1849,28573459892	1402,79184063075	1026,80651785635	859,68811135328	1096,00524077498	1102,85896552884	990,907885069559	777,507670413766
"ENSG00000104332"	387,059804916053	404,805645439158	408,536458867663	784,276873515273	1057,81439412075	1060,0986825358	1054,95548613592	1662,16304099056
"ENSG00000104725"	1565,24184675355	1444,47479818092	1390,25366855467	6162,17543476286	11181,2710855393	11054,42399293	11672,2178114796	20050,3568151225
"ENSG00000104853"	25491,9387795875	22289,9615499538	22431,2476429111	21438,3376139477	27266,1027650785	27614,234421214	27213,8256930969	25207,1833075841
"ENSG00000105438"	36619,6581322904	34219,3033626777	32609,1342051359	35507,9199877245	43843,0919590485	44086,7426050539	44354,7936699142	40740,8524542959
"ENSG00000106263"	34452,3232556674	29800,1082670221	30263,8070089943	30211,896484701	28431,2838790385	27518,0237844797	29179,1720801046	25866,5537701258
"ENSG00000106853"	38339,9239319173	36379,602797249	35780,4155463795	35426,0449295003	27928,3176344225	26929,1790540963	29109,6346846612	30879,1429739064
"ENSG00000108375"	2409,37227401233	2354,28550624714	2309,11911533896	6573,70533267884	5598,20165389928	5592,6886797981	5396,46787270569	12317,8644533573
"ENSG00000108424"	63071,745265158	62788,9627866322	62603,7717077859	70940,4287376109	53789,2854754305	53564,3811626155	57450,698156526	50726,1938964119
"ENSG00000108602"	81085,5285890418	72738,3641157229	69107,5628255454	65176,8555599918	42923,6293112978	42980,320282609	44046,4502190661	54183,767759365
"ENSG00000108679"	13912,1495772153	12629,9361377017	12615,4418887128	23345,1646278516	28720,9578480007	28532,6896663354	27709,7371184964	47166,9670871503
"ENSG00000108828"	29146,50344926	25428,2072962792	25228,8342634179	22675,081914491	22673,1130183989	23211,7069513889	22297,7148283889	19660,229291452
"ENSG00000111405"	8,00123627733444	13,6271207375558	10,9307413743856	10,7730339768581	2,16174603703152	0	1,82993145903889	2,74737692725712
"ENSG00000111728"	7,00108174266763	8,01595337503283	2,7326853435964	2,15460679537163	7,20582012343839	14,2534276643469	9,14965729519446	6,86844231814281
