Encuesta de Hogares y Medioambiente
Se desplazan o no, caminando o en bicicleta
Porcentaje de personas de 16 y más años que usualmente no se desplazan caminando o en bicicleta, por  comunidad autónoma de residencia  y motivos por los que no lo hacen
Unidades: %  sobre el total de personas que no van caminando o en bicicleta

;Trabajo o estudio lejos;Problemas físicos;Demasiado tráfico;Tiempo del trayecto;Aceras estrechas;Falta de una red completa de carriles bici;Falta de instalaciones de aparcamiento de bicicletas;Necesito el vehículo para trabajar o para otra actividad posterior;Tengo que transportar equipo;Seguridad personal;Otras razones;
TOTAL NACIONAL;51,4;9,2;5,6;28,5;1,0;2,5;0,7;14,7;1,9;5,5;9,3;
Andalucía;55,3;9,6;8,3;24,8;0,6;3,0;1,0;15,9;1,6;5,5;8,6;
Aragón;57,4;7,1;7,2;24,1;0,5;1,8;0,2;15,6;2,0;7,9;14,7;
Asturias (Principado de );39,7;12,9;7,8;26,0;0,5;0,5;0,0;23,0;0,7;8,3;4,3;
Balears (Illes);50,0;8,8;4,3;21,5;0,0;3,3;0,3;12,2;1,1;2,9;15,8;
Canarias;29,2;9,1;3,8;53,9;2,4;0,8;0,2;13,2;1,6;4,5;7,0;
Cantabria;53,3;8,5;4,1;20,4;0,4;1,8;0,0;8,4;2,4;5,1;21,3;
Castilla y León;62,1;5,0;2,0;13,9;0,9;2,3;0,7;15,5;2,2;2,2;13,3;
Castilla -La Mancha;67,2;2,7;0,8;9,2;0,0;0,8;0,0;17,7;3,4;3,7;12,2;
Cataluña;56,4;10,9;5,7;27,5;2,4;3,0;0,8;16,0;2,3;4,5;6,4;
Comunitat Valenciana;54,3;4,0;2,4;20,1;0,1;0,9;0,2;13,1;1,7;6,2;10,7;
Extremadura;43,9;5,4;0,6;20,3;0,0;0,9;0,0;27,1;5,4;0,6;15,7;
Galicia;37,6;13,1;4,5;41,0;2,1;2,2;0,5;15,2;2,7;5,8;4,5;
Madrid (Comunidad de);52,4;9,9;7,5;34,3;0,5;3,8;1,3;7,2;0,9;7,9;11,6;
Murcia (Región de);54,8;10,3;8,1;26,0;0,9;4,5;1,6;29,1;3,3;7,5;6,9;
Navarra (Comunidad Foral de);49,4;13,6;3,6;23,8;0,2;1,1;0,3;20,7;2,4;4,8;14,5;
País Vasco;48,6;10,3;7,3;27,1;1,0;2,5;1,0;15,7;1,7;4,4;4,6;
Rioja (La);43,6;7,6;1,3;18,7;0,6;1,7;0,4;38,8;3,8;4,4;13,3;
Ceuta y Melilla;26,7;5,0;0,0;23,4;0,0;12,4;5,1;27,0;2,3;2,6;32,0;
