geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,type,properties/co_F_level,properties/pm1_F_level,properties/pm1_level,properties/no2_F,properties/no2,properties/co_level,properties/last_measure,properties/pm1_F,properties/co,properties/o3_F,properties/count_SMAQ,properties/o3_level,properties/pm25,properties/pm1,properties/pm10_F_level,properties/iuca.level_F_global,properties/pm25_F_level,properties/count_F,properties/pm25_F,properties/no2_F_level,properties/count,properties/iuca.level_global,properties/pm10_level,properties/co_F,properties/pm10,properties/o3,properties/pm10_F,properties/o3_F_level,properties/no2_level,properties/pm25_level,properties/no2_M_level,properties/resp_APP_level,properties/iuca.level_APP_global,properties/no2_M,properties/pm25_M_level,properties/o3_M_level,properties/co_M_level,properties/pm1_M,properties/count_APP,properties/iaq_APP_level,properties/pm10_APP_level,properties/pm10_M,properties/iuca.level_M_global,properties/o3_M,properties/pm25_M,properties/count_M,properties/pm10_M_level,properties/pm1_M_level,properties/co_M,properties/co_APP_level
Polygon,-4.439849853515625,36.698455810546875,-4.439849853515625,36.6998291015625,-4.4384765625,36.6998291015625,-4.4384765625,36.698455810546875,-4.439849853515625,36.698455810546875,Feature,good,unhealthy-low,unhealthy-low,16,16,good,2019-01-02T10:04:25+00:00,6,7,10,251521,good,10,6,moderate,moderate,moderate,251521,10,good,251521,moderate,moderate,7,21,10,21,good,good,moderate,,,,,,,,,,,,,,,,,,,,
Polygon,-4.428863525390625,36.709442138671875,-4.428863525390625,36.7108154296875,-4.427490234375,36.7108154296875,-4.427490234375,36.709442138671875,-4.428863525390625,36.709442138671875,Feature,good,unhealthy-low,unhealthy-low,55,55,good,2019-01-02T10:03:31+00:00,6,99,5,248629,good,9,6,moderate,moderate,good,248599,9,good,248632,good,moderate,99,21,5,21,good,good,good,good,good,unhealthy-high,8,moderate,good,good,6,3,good,good,14,moderate,0,11,30,good,unhealthy-low,64,unhealthy-high
Polygon,-4.340972900390625,36.717681884765625,-4.340972900390625,36.71905517578125,-4.339599609375,36.71905517578125,-4.339599609375,36.717681884765625,-4.340972900390625,36.717681884765625,Feature,good,moderate,moderate,24,24,good,2019-01-02T10:04:59+00:00,3,2,12,242008,good,5,3,moderate,moderate,good,242008,5,good,242008,good,moderate,2,15,12,15,good,good,good,,,,,,,,,,,,,,,,,,,,
Polygon,-4.42474365234375,36.734161376953125,-4.42474365234375,36.73553466796875,-4.423370361328125,36.73553466796875,-4.423370361328125,36.734161376953125,-4.42474365234375,36.734161376953125,Feature,good,unhealthy-high,unhealthy-high,21,21,good,2018-12-18T12:52:06+00:00,18,721,7,37305,good,148,18,unhealthy-low,unhealthy-high,unhealthy-high,36595,150,good,37411,unhealthy-high,unhealthy-low,734,31,6,31,good,good,unhealthy-high,good,unhealthy,unhealthy,7,moderate,good,good,7,106,good,good,14,moderate,1,12,710,good,unhealthy-low,60,good
Polygon,-4.49615478515625,36.701202392578125,-4.49615478515625,36.70257568359375,-4.494781494140625,36.70257568359375,-4.494781494140625,36.701202392578125,-4.49615478515625,36.701202392578125,Feature,good,,unhealthy-high,14,14,good,2018-12-12T19:40:20+00:00,15,172,3,33589,good,22,15,moderate,unhealthy-low,unhealthy-low,33376,22,good,33958,unhealthy-low,moderate,172,26,3,25,good,good,unhealthy-low,good,good,unhealthy-low,0,moderate,good,good,9,369,unhealthy-low,good,15,moderate,6,13,213,,unhealthy-low,149,unhealthy-low
Polygon,-4.449462890625,36.695709228515625,-4.449462890625,36.69708251953125,-4.448089599609375,36.69708251953125,-4.448089599609375,36.695709228515625,-4.449462890625,36.695709228515625,Feature,unhealthy-high,unhealthy-high,unhealthy-low,24,5,good,2018-12-13T18:13:45+00:00,250,149,7,2296,good,17,8,unhealthy-high,unhealthy-high,unhealthy-high,16,83,good,29246,unhealthy-low,moderate,18675,29,16,155,good,good,unhealthy-low,good,good,good,5,unhealthy-low,good,good,6,26950,good,good,29,unhealthy-low,16,17,2280,moderate,,19,good
Polygon,-4.497528076171875,36.701202392578125,-4.497528076171875,36.70257568359375,-4.49615478515625,36.70257568359375,-4.49615478515625,36.701202392578125,-4.497528076171875,36.701202392578125,Feature,good,unhealthy-low,unhealthy,1,37,good,2018-06-11T10:24:02+00:00,9,78,4,20641,good,14,10,good,moderate,moderate,20150,13,good,20867,moderate,good,79,14,4,14,good,good,moderate,unhealthy-high,good,unhealthy-low,1503,unhealthy,good,good,21,226,unhealthy-low,good,39,unhealthy-high,1,32,491,unhealthy-low,unhealthy-high,38,unhealthy-low
Polygon,-4.450836181640625,36.6943359375,-4.450836181640625,36.695709228515625,-4.449462890625,36.695709228515625,-4.449462890625,36.6943359375,-4.450836181640625,36.6943359375,Feature,unhealthy-high,unhealthy-high,unhealthy,0,19,good,2018-12-13T18:25:55+00:00,239,135,0,585,good,72,11,unhealthy-high,unhealthy-high,unhealthy-high,3,83,good,16914,unhealthy-high,unhealthy-high,18789,144,2,155,good,good,unhealthy-high,good,moderate,moderate,19,unhealthy-high,good,good,10,16329,good,good,144,unhealthy-high,1,72,582,unhealthy-high,,39,good
Polygon,-4.450836181640625,36.695709228515625,-4.450836181640625,36.69708251953125,-4.449462890625,36.69708251953125,-4.449462890625,36.695709228515625,-4.450836181640625,36.695709228515625,Feature,unhealthy-high,unhealthy-high,unhealthy-high,2,6,good,2018-12-13T18:22:36+00:00,236,446,0,1063,good,20,15,unhealthy-high,unhealthy-high,unhealthy-high,24,83,good,14675,unhealthy-low,unhealthy-low,18792,33,14,155,good,good,unhealthy-low,good,good,good,6,unhealthy-low,good,good,10,13612,good,good,30,unhealthy-low,14,19,1039,unhealthy-low,unhealthy,22,good
Polygon,-4.404144287109375,36.720428466796875,-4.404144287109375,36.7218017578125,-4.40277099609375,36.7218017578125,-4.40277099609375,36.720428466796875,-4.404144287109375,36.720428466796875,Feature,,,unhealthy-low,,6,good,2018-07-05T15:18:27+00:00,,32,,163,good,8,6,,,,,,,9165,good,good,,9,1,,,good,good,good,unhealthy-low,unhealthy-low,6,good,good,good,6,9002,good,good,9,good,1,8,163,good,unhealthy-low,32,good
