stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
103,103,Victoria (Plaza de la Merced),36.723415,-4.416463,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=103
104,104,Compás de la Victoria,36.727403,-4.413547,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=104
105,105,Fernando el Católico,36.729034,-4.413708,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=105
106,106,Cristo de la Epidemia,36.731038,-4.415068,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=106
107,107,Plaza de Fuente Olletas,36.732988,-4.416382,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=107
109,109,Alameda de Barceló (San Miguel),36.732001,-4.418102,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=109
110,110,Alameda de Barceló (Monserrat),36.73131,-4.420457,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=110
111,111,San Juan Bosco (Segalerva),36.732554,-4.421749,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=111
112,112,San Juan Bosco (Albeniz),36.734287,-4.422284,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=112
113,113,San Juan Bosco (Guerrero Strachan),36.737025,-4.42257,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=113
114,114,Avda. de las Postas (Ntra. Sra. de las Guias),36.737719,-4.421033,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=114
115,115,Avda. de las Postas (Sinaí),36.738258,-4.419951,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=115
116,116,Paseo del Parque (Plaza de la Marina),36.718538,-4.419026,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=116
117,117,Paseo del Parque (Ayuntamiento),36.719504,-4.415573,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=117
119,119,Alameda Principal (Norte),36.717867,-4.422057,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=119
151,151,Plaza de Nazaret (Parque del Sur),36.73832,-4.421442,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=151
152,152,Avda. de las Postas (Lorenza Correa),36.737803,-4.422073,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=152
153,153,Emilio Díaz,36.735732,-4.423585,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=153
154,154,San Juan Bosco (Albeniz),36.734029,-4.422321,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=154
155,155,San Juan Bosco (Segalerva),36.732383,-4.421849,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=155
156,156,Plaza de Capuchinos,36.729561,-4.42048,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=156
157,157,Alameda de Capuchinos (El Ejido),36.730549,-4.419164,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=157
158,158,Alameda de Capuchinos,36.732024,-4.417219,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=158
159,159,Cristo de la Epidemia (Fuente Olletas),36.732515,-4.415561,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=159
160,160,Cristo de la Epidemia (Tejeros),36.729292,-4.414755,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=160
161,161,Plaza de la Victoria,36.72701,-4.414015,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=161
163,163,Paseo del Parque (Ayuntamiento),36.720092,-4.414306,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=163
164,164,Paseo del Parque,36.719527,-4.416269,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=164
165,165,Alcazabilla,36.722251,-4.416316,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=165
171,171,Alameda Principal (Sur),36.717877,-4.42142,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=171
202,202,Pasillo de Santa Isabel,36.720182,-4.425022,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=202
205,205,Huerto de los Claveles,36.727066,-4.425604,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=205
206,206,Jorge Silvela (Cruz Roja),36.732082,-4.425032,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=206
207,207,Avda. Jorge Silvela (Fernando Loring),36.735397,-4.424752,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=207
208,208,Avda. Ramón y Cajal (Cristo Rey),36.738299,-4.424101,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=208
209,209,Avda. Ramón Y Cajal (Bda. del Carmen),36.741044,-4.423245,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=209
